sp,model,rcp,scen,dispersal,year,hs_change,area_km2,sd_hsc,sd_area
Abies magnifica,median,rcp45,cnrm,fd_change_prop,2055,1.4782626305978102,35793.36870912327,0.5650998725553985,8122.181437028923
Abies magnifica,median,rcp45,cnrm,nd_change_prop,2085,0.13320768913662315,16366.837049669928,0.21352453080620093,3069.0574965636565
Abies magnifica,median,rcp45,cnrm,fd_change_prop,2085,1.1553718131051989,31129.87988408482,0.5650998725553985,8122.181437028923
Abies magnifica,median,rcp45,hades,nd_change_prop,2055,0.06175649081371643,15334.872537634506,0.21352453080620093,3069.0574965636565
Abies magnifica,median,rcp45,hades,fd_change_prop,2055,0.9281855945752588,27848.6456899865,0.5650998725553985,8122.181437028923
Abies magnifica,median,rcp45,hades,nd_change_prop,2085,-0.05187111999844972,13693.757137223714,0.21352453080620093,3069.0574965636565
Abies magnifica,median,rcp45,hades,fd_change_prop,2085,0.5535547043969193,22437.878721053203,0.5650998725553985,8122.181437028923
Abies magnifica,median,rcp85,cnrm,nd_change_prop,2055,0.16645623471833132,16847.043399212915,0.21352453080620093,3069.0574965636565
Abies magnifica,median,rcp85,cnrm,fd_change_prop,2055,1.4650821501973166,35603.00397985144,0.5650998725553985,8122.181437028923
Abies magnifica,median,rcp85,cnrm,nd_change_prop,2085,-0.24628342582720875,10885.874204154175,0.21352453080620093,3069.0574965636565
Abies magnifica,median,rcp85,cnrm,fd_change_prop,2085,0.27148595913863294,18363.98014561683,0.5650998725553985,8122.181437028923
Abies magnifica,median,rcp85,hades,nd_change_prop,2055,-0.24597232717937528,10890.367379522007,0.21352453080620093,3069.0574965636565
Abies magnifica,median,rcp85,hades,fd_change_prop,2055,0.25430625266678647,18115.854882188647,0.5650998725553985,8122.181437028923
Abies magnifica,median,rcp85,hades,nd_change_prop,2085,-0.428245790547551,8257.804873968584,0.21352453080620093,3069.0574965636565
Abies magnifica,median,rcp85,hades,fd_change_prop,2085,-0.1415808179122851,12398.08643042723,0.5650998725553985,8122.181437028923
Adenostoma sparsifolium,mean,rcp45,cnrm,nd_change_prop,2055,-0.16176674599452157,3099.487472675331,0.16442895382867123,608.4865188830171
Adenostoma sparsifolium,mean,rcp45,cnrm,fd_change_prop,2055,4.695299861519241,21059.186675732937,3.455082486836916,13195.020156071427
Adenostoma sparsifolium,mean,rcp45,cnrm,nd_change_prop,2085,-0.26103505660769827,2732.4286812125265,0.16442895382867123,608.4865188830171
Adenostoma sparsifolium,mean,rcp45,cnrm,fd_change_prop,2085,3.77621165934582,17660.726455611923,3.455082486836916,13195.020156071427
Adenostoma sparsifolium,mean,rcp45,hades,nd_change_prop,2055,-0.07243114222240263,3429.8186584549876,0.16442895382867123,608.4865188830171
Adenostoma sparsifolium,mean,rcp45,hades,fd_change_prop,2055,3.367093362043108,16147.952974874152,3.455082486836916,13195.020156071427
Adenostoma sparsifolium,mean,rcp45,hades,nd_change_prop,2085,-0.39580737457162257,2234.088739201744,0.16442895382867123,608.4865188830171
Adenostoma sparsifolium,mean,rcp45,hades,fd_change_prop,2085,2.415886037959028,12630.727702758712,3.455082486836916,13195.020156071427
Adenostoma sparsifolium,mean,rcp85,cnrm,nd_change_prop,2055,-0.1160682632716812,3268.4641555292756,0.16442895382867123,608.4865188830171
Adenostoma sparsifolium,mean,rcp85,cnrm,fd_change_prop,2055,5.215156309807172,22981.430324930137,3.455082486836916,13195.020156071427
Adenostoma sparsifolium,mean,rcp85,cnrm,nd_change_prop,2085,-0.01407059662661352,3645.615131701876,0.16442895382867123,608.4865188830171
Adenostoma sparsifolium,mean,rcp85,cnrm,fd_change_prop,2085,12.1095604113968,48474.47661285372,3.455082486836916,13195.020156071427
Adenostoma sparsifolium,mean,rcp85,hades,nd_change_prop,2055,-0.29355180694740396,2612.1933411703258,0.16442895382867123,608.4865188830171
Adenostoma sparsifolium,mean,rcp85,hades,fd_change_prop,2055,1.8124022222437484,10399.259888956623,3.455082486836916,13195.020156071427
Adenostoma sparsifolium,mean,rcp85,hades,nd_change_prop,2085,-0.47766201223725274,1931.419496705501,0.16442895382867123,608.4865188830171
Adenostoma sparsifolium,mean,rcp85,hades,fd_change_prop,2085,4.839056878266924,21590.748827901753,3.455082486836916,13195.020156071427
Adenostoma sparsifolium,meansup,rcp45,cnrm,nd_change_prop,2055,-0.28530850500173993,2739.421711962229,0.16442895382867123,608.4865188830171
Adenostoma sparsifolium,meansup,rcp45,cnrm,fd_change_prop,2055,7.835718365377163,33867.42237775831,3.455082486836916,13195.020156071427
Adenostoma sparsifolium,meansup,rcp45,cnrm,nd_change_prop,2085,-0.3648387978520839,2434.581074403673,0.16442895382867123,608.4865188830171
Adenostoma sparsifolium,meansup,rcp45,cnrm,fd_change_prop,2085,7.041140705524578,30821.795966259444,3.455082486836916,13195.020156071427
Adenostoma sparsifolium,meansup,rcp45,hades,nd_change_prop,2055,-0.1769137797224588,3154.900091053569,0.16442895382867123,608.4865188830171
Adenostoma sparsifolium,meansup,rcp45,hades,fd_change_prop,2055,6.279980615336699,27904.259530003295,3.455082486836916,13195.020156071427
Adenostoma sparsifolium,meansup,rcp45,hades,nd_change_prop,2085,-0.4805556126179018,1991.0370319362803,0.16442895382867123,608.4865188830171
Adenostoma sparsifolium,meansup,rcp45,hades,fd_change_prop,2085,5.816967122223046,26129.522843133804,3.455082486836916,13195.020156071427
Adenostoma sparsifolium,meansup,rcp85,cnrm,nd_change_prop,2055,-0.18407747894083631,3127.4415396168574,0.16442895382867123,608.4865188830171
Adenostoma sparsifolium,meansup,rcp85,cnrm,fd_change_prop,2055,8.807421778846642,37591.974085838425,3.455082486836916,13195.020156071427
Adenostoma sparsifolium,meansup,rcp85,cnrm,nd_change_prop,2085,-0.1029672809912319,3438.33797378422,0.16442895382867123,608.4865188830171
Adenostoma sparsifolium,meansup,rcp85,cnrm,fd_change_prop,2085,16.52625335707705,67178.35501294814,3.455082486836916,13195.020156071427
Adenostoma sparsifolium,meansup,rcp85,hades,nd_change_prop,2055,-0.29548540658836203,2700.413517010975,0.16442895382867123,608.4865188830171
Adenostoma sparsifolium,meansup,rcp85,hades,fd_change_prop,2055,4.467736824620311,20957.905722239997,3.455082486836916,13195.020156071427
Adenostoma sparsifolium,meansup,rcp85,hades,nd_change_prop,2085,-0.5509314479334392,1721.2855481001243,0.16442895382867123,608.4865188830171
Adenostoma sparsifolium,meansup,rcp85,hades,fd_change_prop,2085,8.585274417920436,36740.480388158656,3.455082486836916,13195.020156071427
Adenostoma sparsifolium,meanthr,rcp45,cnrm,nd_change_prop,2055,-0.2286865549298268,2642.003015663597,0.16442895382867123,608.4865188830171
Adenostoma sparsifolium,meanthr,rcp45,cnrm,fd_change_prop,2055,3.1851994964288717,14335.689026803966,3.455082486836916,13195.020156071427
Adenostoma sparsifolium,meanthr,rcp45,cnrm,nd_change_prop,2085,-0.30238262452316833,2389.5696640182764,0.16442895382867123,608.4865188830171
Adenostoma sparsifolium,meanthr,rcp45,cnrm,fd_change_prop,2085,2.264215930291462,11181.016468373098,3.455082486836916,13195.020156071427
Adenostoma sparsifolium,meanthr,rcp45,hades,nd_change_prop,2055,-0.1132248474570508,3037.49745607101,0.16442895382867123,608.4865188830171
Adenostoma sparsifolium,meanthr,rcp45,hades,fd_change_prop,2055,2.399153052560994,11643.220629651054,3.455082486836916,13195.020156071427
Adenostoma sparsifolium,meanthr,rcp45,hades,nd_change_prop,2085,-0.4327152173019791,1943.1375353399728,0.16442895382867123,608.4865188830171
Adenostoma sparsifolium,meanthr,rcp45,hades,fd_change_prop,2085,1.4455759247139104,8376.904369326281,3.455082486836916,13195.020156071427
Adenostoma sparsifolium,meanthr,rcp85,cnrm,nd_change_prop,2055,-0.15115421844223423,2907.5768470558764,0.16442895382867123,608.4865188830171
Adenostoma sparsifolium,meanthr,rcp85,cnrm,fd_change_prop,2055,3.556428290832298,15607.270120824418,3.455082486836916,13195.020156071427
Adenostoma sparsifolium,meanthr,rcp85,cnrm,nd_change_prop,2085,-0.10734027954460049,3057.6540425663443,0.16442895382867123,608.4865188830171
Adenostoma sparsifolium,meanthr,rcp85,cnrm,fd_change_prop,2085,8.95786388889251,34108.969047762555,3.455082486836916,13195.020156071427
Adenostoma sparsifolium,meanthr,rcp85,hades,nd_change_prop,2055,-0.32211028746813686,2321.9959100201727,0.16442895382867123,608.4865188830171
Adenostoma sparsifolium,meanthr,rcp85,hades,fd_change_prop,2055,1.2270454822688106,7628.365507927689,3.455082486836916,13195.020156071427
Adenostoma sparsifolium,meanthr,rcp85,hades,nd_change_prop,2085,-0.5361580802815694,1588.8116024942278,0.16442895382867123,608.4865188830171
Adenostoma sparsifolium,meanthr,rcp85,hades,fd_change_prop,2085,3.011583966181702,13740.998557694713,3.455082486836916,13195.020156071427
Adenostoma sparsifolium,meanw,rcp45,cnrm,nd_change_prop,2055,-0.17750960011876948,3068.655950694318,0.16442895382867123,608.4865188830171
Adenostoma sparsifolium,meanw,rcp45,cnrm,fd_change_prop,2055,5.19642612883298,23118.446022016604,3.455082486836916,13195.020156071427
Adenostoma sparsifolium,meanw,rcp45,cnrm,nd_change_prop,2085,-0.27778690916926374,2694.528105333634,0.16442895382867123,608.4865188830171
Adenostoma sparsifolium,meanw,rcp45,cnrm,fd_change_prop,2085,4.260507430260609,19626.596774712427,3.455082486836916,13195.020156071427
Adenostoma sparsifolium,meanw,rcp45,hades,nd_change_prop,2055,-0.08657686132842585,3407.9198375946567,0.16442895382867123,608.4865188830171
Adenostoma sparsifolium,meanw,rcp45,hades,fd_change_prop,2055,3.780085627999963,17834.17558345803,3.455082486836916,13195.020156071427
Adenostoma sparsifolium,meanw,rcp45,hades,nd_change_prop,2085,-0.41020959411911434,2200.4680406362745,0.16442895382867123,608.4865188830171
Adenostoma sparsifolium,meanw,rcp45,hades,fd_change_prop,2085,2.8379855917125747,14319.264183981402,3.455082486836916,13195.020156071427
Adenostoma sparsifolium,meanw,rcp85,cnrm,nd_change_prop,2055,-0.12531532900521905,3263.3892395787566,0.16442895382867123,608.4865188830171
Adenostoma sparsifolium,meanw,rcp85,cnrm,fd_change_prop,2055,5.761328337981168,25226.05788704661,3.455082486836916,13195.020156071427
Adenostoma sparsifolium,meanw,rcp85,cnrm,nd_change_prop,2085,-0.01883093267398336,3660.675306996837,0.16442895382867123,608.4865188830171
Adenostoma sparsifolium,meanw,rcp85,cnrm,fd_change_prop,2085,12.901381311103696,51865.111725740666,3.455082486836916,13195.020156071427
Adenostoma sparsifolium,meanw,rcp85,hades,nd_change_prop,2055,-0.2937568848526912,2634.9452081709805,0.16442895382867123,608.4865188830171
Adenostoma sparsifolium,meanw,rcp85,hades,fd_change_prop,2055,2.0825673852963145,11500.850042349077,3.455082486836916,13195.020156071427
Adenostoma sparsifolium,meanw,rcp85,hades,nd_change_prop,2085,-0.4880976392840176,1909.8730217549085,0.16442895382867123,608.4865188830171
