species,model,unres,occ,ratio
Keckiella antirrhinoides,meansup,84230.4187098304,14910.3577076922,0.177018682040008
Keckiella antirrhinoides,meanthr,49081.5893727306,10598.0369469978,0.215926930697277
Keckiella antirrhinoides,meanw,97458.801172601,11759.5513889392,0.120661769357422
Keckiella antirrhinoides,median,50948.1209179601,11227.8930448246,0.220378943178385
Lepechinia calycina,mean,142564.763730877,28103.3966014777,0.19712722741595
Lepechinia calycina,meansup,99969.3169744461,13939.6593365484,0.13943937758534
Lepechinia calycina,meanthr,65769.9532038273,25043.2747297972,0.380770754879295
Lepechinia calycina,meanw,177396.427640835,28564.634565265,0.161021475714822
Lepechinia calycina,median,68741.6516511345,44243.08578889,0.643613947675053
Lonicera subspicata,mean,171265.240685838,26082.1099054147,0.152290738044497
Lonicera subspicata,meansup,121389.776784104,4183.50713934022,0.0344634222928075
Lonicera subspicata,meanthr,47217.4821823506,12681.6808126588,0.268580200097986
Lonicera subspicata,meanw,258756.163162684,20636.6917473242,0.0797534307785729
Lonicera subspicata,median,108455.299653918,37045.7904092197,0.341576580650582
Lupinus arboreus,mean,87018.6984184072,7652.98529262071,0.0879464463582676
Lupinus arboreus,meansup,90231.0352315221,6169.97600060123,0.0683797540920351
Lupinus arboreus,meanthr,35473.4239887182,3535.07847170867,0.0996542784489298
Lupinus arboreus,meanw,99719.1958640037,7389.52457511079,0.0741033309693809
Lupinus arboreus,median,33376.0891064192,6953.72514691839,0.208344516481441
Malosma laurina,mean,42765.8853941098,12052.3466973327,0.281821516993371
Malosma laurina,meansup,54783.0151087576,12638.2464705914,0.230696438403425
Malosma laurina,meanthr,22914.7511751075,8902.84701985923,0.388520344463983
Malosma laurina,meanw,82184.6698306688,11923.750496483,0.145084850021913
Malosma laurina,median,37195.6624757156,12945.0120726371,0.348024775229872
Opuntia littoralis,mean,53461.7111269686,11423.4169826532,0.21367473546672
Opuntia littoralis,meansup,59939.3264232505,12839.4347694508,0.214207191432007
Opuntia littoralis,meanthr,49057.6689661524,10132.0656510892,0.206533776769538
Opuntia littoralis,meanw,57119.1858437348,12407.2803188497,0.217217387390522
Opuntia littoralis,median,52164.308569033,10880.1661733301,0.208574913993761
Picea breweriana,mean,65914.3967454572,1962.69805250962,0.0297764699279431
Picea breweriana,meansup,55531.0781270688,3362.60519847409,0.0605535730961251
Picea breweriana,meanthr,57240.6548526142,1765.28354800084,0.0308396812116523
Picea breweriana,meanw,67494.2887540736,2167.40252491524,0.0321123840983424
Picea breweriana,median,46887.7515888327,2863.67447245797,0.061075107579695
Pickeringia montana,mean,52423.0463087592,32640.8399654678,0.62264294549426
Pickeringia montana,meansup,70367.6477422558,18239.4342990039,0.259201989610506
Pickeringia montana,meanthr,29320.0986931336,22607.4662418423,0.771056962613047
Pickeringia montana,meanw,126307.657572906,32290.70081328,0.255651172967416
Pickeringia montana,median,32079.3641225278,24055.4791763194,0.749873940282577
Pinus attenuata,mean,87139.9261968396,29091.5555975311,0.333848751854763
Pinus attenuata,meansup,73451.3392434986,14884.0013945648,0.202637576766611
Pinus attenuata,meanthr,50797.4821469437,20414.3428976891,0.401877062304699
Pinus attenuata,meanw,136033.347905402,27740.2092409448,0.203922124009148
Pinus attenuata,median,53208.4978323807,35427.3632298818,0.665821526130776
Pinus balfouriana,mean,25919.2617912745,3908.02865715338,0.150777004708868
Pinus balfouriana,meansup,18162.2579218046,3884.84662486325,0.213896677471986
Pinus balfouriana,meanthr,19329.5265017238,3996.60197448788,0.206761504175049
Pinus balfouriana,meanw,24727.4901356237,3934.71004051294,0.159122904060707
Pinus balfouriana,median,11082.8547649673,4153.4836007399,0.374766582150746
Pinus coulteri,mean,161048.991734335,19742.8251910813,0.122588940039121
Pinus coulteri,meansup,136571.87483084,19414.267244976,0.142154211978292
Pinus coulteri,meanthr,129770.290451903,16878.5799116579,0.130065054589006
Pinus coulteri,meanw,170940.495786937,19950.8100797019,0.116712017172157
Pinus coulteri,median,139401.916286902,16345.6793884886,0.117255772545104
Pinus jeffreyi,mean,60691.8956082773,51680.4187904016,0.851520920090578
Pinus jeffreyi,meansup,51592.2056365548,46519.0900042765,0.901668952321669
Pinus jeffreyi,meanthr,49601.3807568541,46081.3980462716,0.929034582165416
Pinus jeffreyi,meanw,85221.9759610449,52605.8144623245,0.61727991951713
Pinus jeffreyi,median,59208.0172456667,52917.6819266795,0.8937587237065
